ln(t/ts),H: 130.55 m,H: 130.55 m bhw
-49.15652348811684,-1.9056241675170642,1.0457280944868752e-05
-47.7580244089381,-1.9001028144926362,1.2800945833776314e-05
-46.359525329759364,-1.8945814614682084,1.5144610722683865e-05
-44.96102625058062,-1.8890601084437804,1.7488275611591427e-05
-43.56252717140188,-1.8835387554193526,1.983194050049899e-05
-42.16402809222314,-1.8780174023949245,2.217560538940655e-05
-40.7655290130444,-1.8724960493704965,2.4519270278314114e-05
-39.367029933865666,-1.8669746963460687,2.6862935167221664e-05
-37.968530854686925,-1.8614533433216407,2.9206600056129227e-05
-36.570031775508184,-1.855931990297213,3.155026494503679e-05
-35.17153269632945,-1.8504106372727849,3.389392983394434e-05
-33.77303361715071,-1.844889284248357,3.6237594722851904e-05
-32.37453453797197,-1.839367931223929,3.858125961175947e-05
-30.976035458793227,-1.833846578199501,4.092492450066703e-05
-29.57753637961449,-1.8283252251750732,4.326858938957459e-05
-28.179037300435752,-1.8228038721506452,4.5612254278482144e-05
-26.78053822125701,-1.8172825191262172,4.795591916738971e-05
-25.38203914207827,-1.8117611661017894,5.029958405629727e-05
-23.983540062899532,-1.8062398130773614,5.264324894520483e-05
-22.585040983720795,-1.8007184600529336,5.4986913834112384e-05
-21.186541904542054,-1.7951971070285055,5.733057872301995e-05
-19.788042825363313,-1.7896757540040777,5.9674243611927504e-05
-18.389543746184575,-1.7841544009796497,6.201790850083505e-05
-16.991044667005838,-1.7786330479552217,6.436157338974262e-05
-15.592545587827097,-1.5600388785390618,0.0006437098633319433
-14.194046508648356,-0.9782126843248392,0.023364924326202626
-12.795547429469615,-0.04118667260151675,0.28213193882611187
-11.39704835029088,0.9547784935471788,0.9294703995366587
-9.99854927111214,1.7828823255647956,1.672407262176953
-8.600050191933402,2.5216002874269012,2.393285324140217
-8.5,2.5873313847137878,2.5873313847137878
-7.8,2.9342480107505966,2.9342480107505966
-7.2,3.231074885193424,3.231074885193424
-6.5,3.576137180189669,3.576137180189669
-5.9,3.8712647191576863,3.8712647191576863
-5.2,4.229285168978965,4.229285168978965
-4.5,4.6474501071753185,4.6474501071753185
-3.963,5.036935751847315,5.036935751847315
-3.27,5.635119536594188,5.635119536594188
-2.864,6.027813710331854,6.027813710331854
-2.577,6.318138134109599,6.318138134109599
-2.171,6.73704892441862,6.73704892441862
-1.884,7.033302481570792,7.033302481570792
-1.191,7.71664598340728,7.71664598340728
-0.497,8.313384277689313,8.313384277689313
-0.274,8.478965911035562,8.478965911035562
-0.051,8.628824346516721,8.628824346516721
0.196,8.775705904903996,8.775705904903996
0.419,8.890457141547733,8.890457141547733
0.642,8.988812708257539,8.988812708257539
0.873,9.073912822102704,9.073912822102704
1.112,9.145433599937796,9.145433599937796
1.335,9.198846471288084,9.198846471288084
1.679,9.26001722661112,9.26001722661112
2.028,9.301782505907154,9.301782505907154
2.275,9.322248198869834,9.322248198869834
3.003,9.355279974860116,9.355279974860116
